id,kind,source,name_ru,name_en,tier,rarity,roll,class,trait,range,damage,burden,armor_score,thresholds,crafts_into,community,url,text_ru,text_en
ci1,item,Core,Первоклассный Спальный Мешок,Premium Bedroll,,common,1,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci1.html,Во время отдыха вы автоматически очищаете Стресс.,"During downtime, you automatically clear a Stress."
ci2,item,Core,Пронзительная Свирель,Piper Whistle,,common,2,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci2.html,"Эта свирель ручной работы имеет характерный звук. Когда вы дуете в этот свисток, его пронзительный звук слышен в радиусе 1 километра.","This handcrafted whistle has a distinctive sound. When you blow this whistle, its piercing tone can be heard within a 1-mile radius."
ci3,item,Core,Заряжающий Колчан,Charging Quiver,,common,3,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci3.html,"Когда вы успешно наносите удар стрелой из этого колчана, получите бонус к Броску Урона, равный вашему текущему Рангу.","When you succeed on an attack with an arrow stored in this quiver, gain a bonus to the damage roll equal to your current tier."
ci4,item,Core,Факел Алистера,Alistair's Torch,,common,4,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci4.html,"Вы можете зажигать этот магический факел по желанию. Его пламя освещает гораздо большую область, чем должно, - достаточно, чтобы осветить пещеру, как при дневном свете.","You can light this magic torch at will. The flame's light fills a much larger space than it should, enough to illuminate a cave bright as day."
ci5,item,Core,Разговаривающие Сферы,Speaking Orbs,,common,5,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci5.html,"Эта пара сфер позволяет существам, которые держат их, общаться друг с другом на любом расстоянии.",This pair of orbs allows any creatures holding them to communicate with each other across any distance.
ci6,item,Core,Наручники,Manacles,,common,6,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci6.html,Эта пара наручников с замком поставляется с ключом.,This pair of locking cuffs comes with a key.
ci7,item,Core,Мистический Плащ,Arcane Cloak,,common,7,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci7.html,"Существо с Характеристикой Заклинателя, носящее этот плащ, может изменять его цвет, текстуру и размер по своему желанию.","A creature with a Spellcast trait wearing this cloak can adjust its color, texture, and size at will."
ci8,item,Core,Плетёная Сеть,Woven Net,,common,8,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci8.html,"Вы можете совершить Бросок Искусности, используя эту сеть, чтобы поймать небольшое существо. Пойманная цель может освободиться, успешно совершив Бросок Атаки (16)",You can make a Finesse Roll using this net to trap a small creature. A trapped target can break free with a successful Attack Roll (16).
ci9,item,Core,Банка с Огнём,Fire Jar,,common,9,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci9.html,"Вы можете вылить странную жидкость из этой банки, чтобы мгновенно разжечь огонь. Содержимое восстанавливается после продолжительного отдыха.",You can pour out the strange liquid contents of this jar to instantly produce fire. The contents regenerate when you take a long rest.
ci10,item,Core,Подвешенный Жезл,Suspended Rod,,common,10,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci10.html,"Этот плоский жезл исписан рунами. Когда вы активируете жезл, он сразу же зависает на месте. До тех пор пока жезл не будет деактивирован, он не подчиняется законам гравитации и остаётся на месте.","This flat rod is inscribed with runes. When you activate the rod, it is immediately suspended in place. Until the rod is deactivated, it can't move, doesn't abide by the rules of gravity, and remains in place."
ci11,item,Core,Камень Облика,Glamour Stone,,common,11,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci11.html,"Активируйте этот камень размером с гальку, чтобы запомнить внешность кого-то, кого вы видите. Потратьте Надежду, чтобы магическим образом воссоздать этот облик на себе в виде иллюзии.",Activate this pebble-sized stone to memorize the appearance of someone you can see. Spend a Hope to magically recreate this guise on yourself as an illusion.
ci12,item,Core,Пустой Сундук,Empty Chest,,common,12,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci12.html,Этот магический сундук кажется пустым. Скажите ключевое слово или сделайте условное действие - и вы увидите хранимые внутри вещи.,"This magical chest appears empty. When you speak a specific trigger word or action and open the chest, you can see the items stored within it."
ci13,item,Core,Футляр для Компаньона,Companion Case,,uncommon,13,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci13.html,"В этот футляр можно поместить маленького животного-компаньона. Пока он внутри, оба неуязвимы ко всем видам урона и эффектам.","This case can fit a small animal companion. While the companion is inside, the animal and case are immune to all damage and harmful effects."
ci14,item,Core,Пронзающие Стрелы,Piercing Arrows,,uncommon,14,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci14.html,"Три раза за отдых, когда вы успешно наносите удар одной из этих стрел, вы можете добавить ваше Мастерство к Броску Урона.","Three times per rest when you succeed on an attack with one of these arrows, you can add your Proficiency to the damage roll."
ci15,item,Core,Камень Доблести,Valorstone,,uncommon,15,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci15.html,"Вы можете прикрепить этот камень к доспеху, который ещё не имеет свойств. Доспех получает следующее свойство. Устойчивое: перед тем как отметить последнюю Ячейку Брони, бросьте 1d6. При результате 6 уменьшите тяжесть урона на один порог, не отмечая Ячейку Брони.","You can attach this stone to armor that doesn't already have a feature. The armor gains the following feature. Resilient: Before you mark your last Armor Slot, roll a d6. On a result of 6, reduce the severity by one threshold without marking an Armor Slot."
ci16,item,Core,Скелетный Ключ,Skeleton Key,,uncommon,16,,,,,,,,,,https://artex-x.github.io/daggerheart-loot/i/ci16.html,"Когда вы используете этот ключ, чтобы открыть запертую дверь, вы получаете преимущество на Бросок Искусности.","When you use this key to open a locked door, you gain advantage on the Finesse Roll."
